time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-08 00:00:00+00:00,11,7,13,8
2026-04-09 00:00:00+00:00,113,31,74,14
2026-04-10 00:00:00+00:00,28,17,57,15
2026-04-11 00:00:00+00:00,24,11,42,11
2026-04-12 00:00:00+00:00,34,13,20,7
2026-04-13 00:00:00+00:00,36,14,27,8
2026-04-14 00:00:00+00:00,19,9,54,15
2026-04-15 00:00:00+00:00,14,9,38,13
2026-04-16 00:00:00+00:00,30,9,39,12
2026-04-17 00:00:00+00:00,26,9,33,11
2026-04-18 00:00:00+00:00,13,7,17,4
2026-04-19 00:00:00+00:00,28,12,26,8
2026-04-20 00:00:00+00:00,26,9,50,12
2026-04-21 00:00:00+00:00,54,20,62,14
