time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-13 00:00:00+00:00,1,1,31,5
2026-03-14 00:00:00+00:00,4,4,5,3
2026-03-15 00:00:00+00:00,0,0,3,2
2026-03-16 00:00:00+00:00,7,7,59,13
2026-03-17 00:00:00+00:00,8,6,81,10
2026-03-18 00:00:00+00:00,9,7,58,14
2026-03-19 00:00:00+00:00,2,2,50,7
2026-03-20 00:00:00+00:00,2,2,53,12
2026-03-21 00:00:00+00:00,4,4,13,6
2026-03-22 00:00:00+00:00,2,1,7,3
2026-03-23 00:00:00+00:00,4,3,33,10
2026-03-24 00:00:00+00:00,56,18,222,11
2026-03-25 00:00:00+00:00,10,6,63,10
2026-03-26 00:00:00+00:00,14,8,32,7
