url_path,views_total,views_unique
/nyadla-sys/whisper.tflite,94,61
/nyadla-sys/whisper.tflite/tree/main/models,32,22
/nyadla-sys/whisper.tflite/tree/main/whisper_android,29,21
/nyadla-sys/whisper.tflite/blob/main/models/generate_tflite_from_whisper.ipynb,24,4
/nyadla-sys/whisper.tflite/tree/main,22,12
/nyadla-sys/whisper.tflite/blob/main/models/whisper-tiny-en.tflite,14,10
/nyadla-sys/whisper.tflite/tree/main/whisper_android/app,11,10
/nyadla-sys/whisper.tflite/tree/main/whisper_native,9,5
/nyadla-sys/whisper.tflite/tree/main/whisper_android/app/src,8,8
/nyadla-sys/whisper.tflite/tree/main/release,8,7
