time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-18 00:00:00+00:00,2159,26,12,3
2026-08-19 00:00:00+00:00,2494,22,2,2
2026-08-20 00:00:00+00:00,3163,17,40,5
2026-08-21 00:00:00+00:00,1049,14,44,4
2026-08-22 00:00:00+00:00,2867,44,1,1
2026-08-23 00:00:00+00:00,447,13,0,0
2026-08-24 00:00:00+00:00,1043,17,5,4
2026-08-25 00:00:00+00:00,4532,24,16,8
2026-08-26 00:00:00+00:00,1049,11,19,6
2026-08-27 00:00:00+00:00,1395,70,5,3
2026-08-28 00:00:00+00:00,2696,16,6,3
2026-08-29 00:00:00+00:00,814,12,15,12
2026-08-30 00:00:00+00:00,41,13,0,0
2026-08-31 00:00:00+00:00,21,10,9,3
