time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-09 00:00:00+00:00,14,7,16,6
2026-05-10 00:00:00+00:00,25,9,4,4
2026-05-11 00:00:00+00:00,47,14,39,10
2026-05-12 00:00:00+00:00,15,7,12,3
2026-05-13 00:00:00+00:00,28,11,15,4
2026-05-14 00:00:00+00:00,1328,18,16,8
2026-05-15 00:00:00+00:00,19,13,53,12
2026-05-16 00:00:00+00:00,6984,8,15,7
2026-05-17 00:00:00+00:00,29,12,6,5
2026-05-18 00:00:00+00:00,3355,18,7,4
2026-05-19 00:00:00+00:00,6574,14,6,4
2026-05-20 00:00:00+00:00,1546,12,12,6
2026-05-21 00:00:00+00:00,18,8,8,5
2026-05-22 00:00:00+00:00,5834,14,26,4
