url_path,views_total,views_unique
/nyadla-sys/whisper.tflite,72,45
/nyadla-sys/whisper.tflite/tree/main/models,18,10
/nyadla-sys/whisper.tflite/tree/main/whisper_android,15,9
/nyadla-sys/whisper.tflite/tree/main/release,8,5
/nyadla-sys/whisper.tflite/tree/main/whisper_android/app/src,8,3
/nyadla-sys/whisper.tflite/blob/main/models/whisper_tflite_model_generation_and_test.py,6,3
/nyadla-sys/whisper.tflite/tree/main/whisper_android/app,6,2
/nyadla-sys/whisper.tflite/tree/main/whisper_android/app/src/main,6,2
/nyadla-sys/whisper.tflite/tree/main/whisper_native,4,4
/nyadla-sys/whisper.tflite/blob/main/models/whisper-tiny-en.tflite,4,1
